,game_id,game_date,team_id,team_display_name,opponent_team_id,opponent_team_name,opponent_team_display_name,team_score,opponent_team_score,OG_TeamID,OG_TeamName,opponent_TeamID,opponent_TeamName
49,401637599,3/29/24,152,NC State Wolfpack,24,Cardinal,Stanford Cardinal,77,67,3301,NC State,3390,Stanford
50,401637600,3/29/24,2250,Gonzaga Bulldogs,251,Longhorns,Texas Longhorns,47,69,3211,Gonzaga,3400,Texas
51,401637601,3/29/24,204,Oregon State Beavers,87,Fighting Irish,Notre Dame Fighting Irish,70,65,3333,Oregon St,3323,Notre Dame
52,401637602,3/29/24,84,Indiana Hoosiers,2579,Gamecocks,South Carolina Gamecocks,75,79,3231,Indiana,3376,South Carolina
53,401637603,3/30/24,239,Baylor Bears,30,Trojans,USC Trojans,70,74,3124,Baylor,3425,USC
54,401637604,3/30/24,150,Duke Blue Devils,41,Huskies,UConn Huskies,45,53,3181,Duke,3163,Connecticut
55,401637605,3/30/24,99,LSU Tigers,26,Bruins,UCLA Bruins,78,69,3261,LSU,3417,UCLA
56,401637606,3/30/24,38,Colorado Buffaloes,2294,Hawkeyes,Iowa Hawkeyes,68,89,3160,Colorado,3234,Iowa
57,401637607,3/31/24,152,NC State Wolfpack,251,Longhorns,Texas Longhorns,76,66,3301,NC State,3400,Texas
58,401637608,3/31/24,204,Oregon State Beavers,2579,Gamecocks,South Carolina Gamecocks,58,70,3333,Oregon St,3376,South Carolina
59,401637609,4/1/24,41,UConn Huskies,30,Trojans,USC Trojans,80,73,3163,Connecticut,3425,USC
60,401637610,4/1/24,99,LSU Tigers,2294,Hawkeyes,Iowa Hawkeyes,87,94,3261,LSU,3234,Iowa
61,401637611,4/5/24,152,NC State Wolfpack,2579,Gamecocks,South Carolina Gamecocks,59,78,3301,NC State,3376,South Carolina
62,401637612,4/5/24,41,UConn Huskies,2294,Hawkeyes,Iowa Hawkeyes,69,71,3163,Connecticut,3234,Iowa
63,401637613,4/7/24,2294,Iowa Hawkeyes,2579,Gamecocks,South Carolina Gamecocks,75,87,3235,Iowa St,3376,South Carolina
